net,length_um
_02068_,148.84
net564,148.83
_02220_,148.655
net846,148.35
net640,148.1
net243,147.74
alu_out_q\[8\],147.7
_01653_,147.6
reg_pc\[7\],147.6
net620,147.47
_05444_,146.89
_04224_,146.37
decoded_imm\[2\],146.28
net577,146.26
net310,145.525
net827,145.52
_01101_,145.405
net580,145.02
net1057,145.01
net559,145
net145,144.86
net820,144.82
net878,144.775
_02583_,144.38
_01630_,143.69
net290,143.68
_03408_,143.36
_03197_,143.04
reg_next_pc\[6\],142.64
reg_next_pc\[29\],142.59
decoded_imm\[3\],142.47
_01694_,142.34
net661,142.32
_01598_,142.28
_05198_,141.96
net506,141.96
_01103_,141.925
_05438_,141.9
reg_pc\[8\],141.74
_05445_,141.48
net551,141.08
_02690_,141.04
net473,141.04
_02217_,140.14
net834,139.97
latched_store,139.89
net856,139.87
_02694_,139.78
net866,139.61
net184,139.6
net271,139.4
net1105,139.12
cpu_state\[6\],138.665
decoded_imm_j\[2\],138.665
_02784_,138.66
_03438_,138.64
_01730_,138.5
net287,138.46
_02783_,138.37
_00010_,138.36
_05409_,137.71
clknet_leaf_200_clk,137.14
net238,136.7
_04228_,136.68
net273,136.58
_03814_,136.56
_03637_,136.54
net749,136.15
net509,136.1
_04605_,135.96
net527,135.4
alu_out_q\[2\],135.26
net331,135.22
net828,135.08
net1091,134.88
_03315_,134.62
net545,134.34
net588,134.335
_05498_,134.28
net246,133.95
net1056,133.36
net492,133.23
net1102,132.86
net253,131.08
net269,130.98
mem_rdata_q\[31\],130.925
cpu_state\[0\],130.79
net748,130.78
latched_branch,130.55
net242,129.82
net644,129.68
_01619_,129.67
net642,129.63
net1077,129.47
alu_out_q\[23\],129.4
net254,129
net583,128.96
mem_rdata_q\[26\],128.745
net616,128.64
_01832_,128.2
net534,128.14
alu_out_q\[31\],127.83
_03534_,127.68
net1016,127.64
_03093_,127.41
_03346_,127.14
_02712_,127.1
net618,126.99
clknet_leaf_70_clk,126.72
_03337_,126.3
net870,126.2
clknet_leaf_134_clk,126.2
net329,126.02
net728,125.92
net284,125.72
net1110,125.7
mem_rdata_q\[28\],125.125
net601,124.92
net736,124.52
_01102_,124.465
net887,124.19
_02744_,123.62
net1089,123.56
net628,123.39
net252,123.3
net320,123.29
net571,123.14
decoded_imm_j\[19\],122.905
net880,122.64
clknet_leaf_82_clk,122.62
_04538_,122.39
net730,122.27
_05388_,122.18
net913,122.12
_05434_,122.04
decoded_imm\[0\],121.89
reg_pc\[26\],121.7
net168,121.5
clknet_leaf_163_clk,121.42
reg_out\[29\],121.4
net225,121.36
_02688_,121.27
reg_pc\[3\],121.135
net432,121.1
net1107,120.8
reg_pc\[25\],120.44
clknet_leaf_20_clk,120.405
net608,120.39
net744,120.34
alu_out_q\[7\],120.17
net478,120.04
net490,119.96
mem_rdata_q\[29\],119.805
net538,119.655
clknet_leaf_223_clk,119.54
net270,119.51
reg_pc\[4\],119.42
_02981_,119.4
net333,119.4
reg_pc\[27\],119.36
net466,119.12
_02101_,118.98
net300,118.935
_01746_,118.92
mem_rdata_q\[18\],118.86
net1075,118.68
clknet_leaf_142_clk,118.52
net484,118.07
net266,118.04
net1049,117.89
net587,117.8
_03123_,117.66
reg_pc\[5\],117.66
clknet_leaf_112_clk,117.6
net291,117.58
_03407_,117.34
_03584_,117.27
net582,117.22
reg_pc\[6\],116.74
net522,116.72
net871,115.88
net298,115.86
net239,115.83
net975,115.74
net809,115.54
alu_out_q\[26\],115.52
clknet_leaf_80_clk,115.42
_01719_,115.28
_01811_,115.18
net839,115.18
_02390_,115.16
net467,114.96
_05442_,114.79
_03852_,114.73
_01856_,114.61
_02740_,114.6
net301,114.58
net842,114.56
clknet_leaf_169_clk,114.47
clknet_leaf_151_clk,114.32
net1101,114.16
clknet_leaf_179_clk,114.075
net317,113.82
net536,113.68
net255,113.12
_03583_,113.08
_03967_,113.02
net278,113
_02707_,112.96
net537,112.76
_02055_,112.7
mem_rdata_q\[30\],112.695
_03071_,112.4
mem_rdata_q\[25\],112.34
clknet_leaf_129_clk,112.28
net248,111.91
net894,111.9
mem_rdata_q\[27\],111.845
clknet_leaf_172_clk,111.68
net257,111.46
net268,111.255
net747,110.78
net265,110.74
net629,110.18
mem_do_prefetch,110.14
net739,110.12
net533,110.1
net597,109.695
clknet_leaf_220_clk,109.68
net607,109.6
net746,108.72
_01895_,108.56
_04070_,108.44
net543,108.42
net324,108.32
net586,108.22
_03176_,108.14
_02157_,107.655
net1060,107.55
net486,107.52
net263,107.5
clknet_leaf_18_clk,107.34
net1111,107.26
net741,107.105
net322,107.1
_05268_,106.86
net305,106.7
net289,106.68
net283,106.62
net488,106.46
_01543_,106.44
clknet_leaf_38_clk,106.36
net584,106.34
net560,106.28
_03472_,106.26
net318,106.2
net236,106.1
_04052_,106.02
net429,106.02
net525,105.82
clknet_leaf_190_clk,105.21
net261,105.16
net313,105.14
net502,105.11
net315,105.04
net294,104.8
net546,104.66
clknet_leaf_8_clk,104.535
net824,104.1
net274,103.92
net529,103.9
_03888_,103.58
_02392_,103.48
_04067_,103.44
net752,103.24
net1065,103.18
net524,103.16
net330,103.11
alu_out_q\[27\],102.98
net465,102.72
_02689_,102.68
clknet_leaf_224_clk,102.63
clknet_leaf_116_clk,102.475
net250,102.4
net468,102.38
net240,102.32
net281,102.28
net535,102.22
reg_next_pc\[24\],102.12
net910,102.08
_02624_,102.02
net737,101.56
net794,101.5
net883,101.335
_01975_,101.2
net511,101.02
net1112,100.9
net309,100.62
clknet_5_30__leaf_clk,100.6
_02718_,100.5
net241,100.47
alu_out_q\[28\],100.42
net531,100.4
_02779_,100.28
clknet_leaf_208_clk,100.28
_01836_,100.06
alu_out_q\[21\],99.98
clknet_leaf_204_clk,99.86
_04483_,99.52
_03667_,99.46
_03827_,99.42
clknet_leaf_147_clk,99.3
_03881_,99.06
net304,99.02
net945,99.02
net1067,98.76
net308,98.48
net336,98.48
net544,98.42
_02850_,98.32
clknet_leaf_156_clk,98.3
net1100,97.94
net504,97.92
clknet_leaf_4_clk,97.92
clknet_leaf_214_clk,97.88
_05421_,97.76
clknet_leaf_121_clk,97.7
clknet_leaf_166_clk,97.675
net307,97.64
alu_out_q\[10\],97.6
net259,97.52
net181,97.36
_02142_,97.3
clknet_leaf_15_clk,97.3
net314,97.22
net528,97.22
clknet_leaf_188_clk,97.01
alu_out_q\[14\],96.9
_05296_,96.86
_03395_,96.82
net292,96.8
clknet_leaf_79_clk,96.8
net299,96.72
net306,96.4
decoded_imm\[1\],96.25
clknet_leaf_161_clk,96.16
net332,95.98
_02851_,95.88
_01673_,95.76
_03106_,95.68
clknet_leaf_222_clk,95.66
clknet_leaf_170_clk,95.62
net1106,95.315
net574,95.02
instr_rdinstr,94.36
net430,94.36
alu_out_q\[19\],94.3
net264,93.72
clknet_leaf_127_clk,93.62
clknet_leaf_138_clk,93.58
net1046,93.54
alu_out_q\[9\],93.5
clknet_leaf_119_clk,93.38
clknet_leaf_160_clk,93.36
net491,93.34
net285,93.28
clknet_leaf_192_clk,93.19
net280,93.16
net530,93.08
clknet_leaf_216_clk,93.02
clknet_leaf_168_clk,92.995
net321,92.64
clknet_leaf_69_clk,92.56
_03330_,92.52
net303,92.32
_02389_,92.3
alu_out_q\[12\],92.26
net335,92.12
net851,92.02
_02928_,91.68
clknet_leaf_2_clk,91.62
clknet_leaf_21_clk,91.58
net296,91.18
clknet_leaf_106_clk,91.14
clknet_leaf_194_clk,91.105
clknet_leaf_67_clk,90.9
clknet_leaf_42_clk,90.76
_01548_,90.74
clknet_leaf_176_clk,90.72
net884,90.675
_05352_,90.6
_03745_,90.54
instr_rdcycleh,90.54
net757,90.54
net622,90.3
net860,90.22
_03738_,90
decoded_imm_j\[18\],89.86
net745,89.85
reg_pc\[31\],89.84
alu_out_q\[0\],89.82
net738,89.78
clknet_leaf_103_clk,89.7
net482,89.5
instr_bne,89.44
clknet_leaf_173_clk,89.28
_01545_,89.18
_02813_,89.06
clknet_leaf_35_clk,88.62
net196,88.52
clknet_leaf_221_clk,88.48
net523,88.36
_04048_,88.35
net272,88.34
clknet_leaf_202_clk,88.32
_03244_,87.84
_01988_,87.7
net867,87.68
net244,87.64
_03243_,87.6
_04028_,87.6
_03880_,87.4
clknet_leaf_110_clk,87.38
clknet_leaf_175_clk,87.34
clknet_leaf_184_clk,87.34
clknet_leaf_83_clk,87.32
clknet_leaf_211_clk,87.17
_05470_,87.1
net319,87.02
clknet_leaf_44_clk,86.98
_03452_,86.96
net256,86.82
_01640_,86.78
_05483_,86.76
_03905_,86.46
clknet_leaf_68_clk,86.25
net169,86.1
is_lui_auipc_jal,86.08
alu_out_q\[13\],86.04
clknet_leaf_29_clk,86
net279,85.99
net282,85.96
decoded_imm_j\[1\],85.9
net251,85.6
clknet_leaf_46_clk,85.3
_03886_,85.28
net201,85.04
_05560_,84.905
instr_jalr,84.66
net611,84.48
clknet_leaf_205_clk,84.38
net630,84.245
net837,84.16
_00009_,84.08
_04071_,84.02
_04018_,83.9
_02749_,83.86
net431,83.8
clknet_leaf_144_clk,83.76
decoded_imm_j\[3\],83.72
decoded_imm_j\[16\],83.595
_01739_,83.52
_03491_,83.52
_03519_,83.4
clknet_leaf_126_clk,82.94
clknet_leaf_217_clk,82.74
net496,82.7
net286,82.56
clknet_leaf_143_clk,82.56
_01830_,82.38
_01681_,82.3
_03900_,82.28
_02758_,82.1
net516,81.68
mem_wordsize\[1\],81.67
_04063_,81.54
_03066_,81.5
net277,81.2
_03940_,81.16
clknet_leaf_182_clk,81.02
_05400_,80.76
_04053_,80.65
alu_out_q\[20\],80.62
clknet_leaf_39_clk,80.58
clknet_leaf_150_clk,80.42
net868,80.4
_04154_,80.34
clknet_leaf_158_clk,80.3
net879,80.04
net973,80.04
_01622_,79.96
clknet_leaf_17_clk,79.94
net1084,79.92
_02193_,79.86
clknet_leaf_113_clk,79.82
